Now starting Left hand comparisons:
214_1.bmp <-> 214_2.bmp similarity score:0.1450653983353151
214_1.bmp <-> 214_3.bmp similarity score:0.11296076099881094
214_1.bmp <-> 214_6.bmp similarity score:0.11652794292508918
214_1.bmp <-> 214_4.bmp similarity score:0.19738406658739596
214_1.bmp <-> 214_5.bmp similarity score:0.12366230677764566
214_2.bmp <-> 214_3.bmp similarity score:0.3079667063020214
214_2.bmp <-> 214_6.bmp similarity score:0.15101070154577884
214_2.bmp <-> 214_4.bmp similarity score:0.23067776456599287
214_2.bmp <-> 214_5.bmp similarity score:0.09512485136741974
214_3.bmp <-> 214_6.bmp similarity score:0.20689655172413793
214_3.bmp <-> 214_4.bmp similarity score:0.23305588585017836
214_3.bmp <-> 214_5.bmp similarity score:0.10820451843043995
214_6.bmp <-> 214_4.bmp similarity score:0.19500594530321047
214_6.bmp <-> 214_5.bmp similarity score:0.14982164090368608
214_4.bmp <-> 214_5.bmp similarity score:0.14982164090368608
108_4.bmp <-> 108_5.bmp similarity score:0.3055885850178359
108_4.bmp <-> 108_2.bmp similarity score:0.272294887039239
108_4.bmp <-> 108_3.bmp similarity score:0.30439952437574314
108_4.bmp <-> 108_1.bmp similarity score:0.26516052318668254
108_5.bmp <-> 108_2.bmp similarity score:0.2318668252080856
108_5.bmp <-> 108_3.bmp similarity score:0.28180737217598095
108_5.bmp <-> 108_1.bmp similarity score:0.2925089179548157
108_2.bmp <-> 108_3.bmp similarity score:0.4161712247324614
108_2.bmp <-> 108_1.bmp similarity score:0.27110582639714625
108_3.bmp <-> 108_1.bmp similarity score:0.3816884661117717
089_5.bmp <-> 089_4.bmp similarity score:0.16884661117717004
089_5.bmp <-> 089_6.bmp similarity score:0.32461355529131986
089_5.bmp <-> 089_3.bmp similarity score:0.24019024970273484
089_5.bmp <-> 089_2.bmp similarity score:0.2164090368608799
089_5.bmp <-> 089_1.bmp similarity score:0.14863258026159334
089_4.bmp <-> 089_6.bmp similarity score:0.11890606420927467
089_4.bmp <-> 089_3.bmp similarity score:0.2057074910820452
089_4.bmp <-> 089_2.bmp similarity score:0.13079667063020214
089_4.bmp <-> 089_1.bmp similarity score:0.06183115338882283
089_6.bmp <-> 089_3.bmp similarity score:0.24613555291319858
089_6.bmp <-> 089_2.bmp similarity score:0.2318668252080856
089_6.bmp <-> 089_1.bmp similarity score:0.15576694411414982
089_3.bmp <-> 089_2.bmp similarity score:0.21521997621878716
089_3.bmp <-> 089_1.bmp similarity score:0.07847800237812129
089_2.bmp <-> 089_1.bmp similarity score:0.16527942925089179
031_5.bmp <-> 031_4.bmp similarity score:0.23781212841854935
031_5.bmp <-> 031_6.bmp similarity score:0.13912009512485138
031_5.bmp <-> 031_3.bmp similarity score:0.18549346016646848
031_5.bmp <-> 031_2.bmp similarity score:0.06183115338882283
031_5.bmp <-> 031_1.bmp similarity score:0.1426872770511296
031_4.bmp <-> 031_6.bmp similarity score:0.10225921521997622
031_4.bmp <-> 031_3.bmp similarity score:0.2473246135552913
031_4.bmp <-> 031_2.bmp similarity score:0.07491082045184304
031_4.bmp <-> 031_1.bmp similarity score:0.18311533888228299
031_6.bmp <-> 031_3.bmp similarity score:0.08799048751486326
031_6.bmp <-> 031_2.bmp similarity score:0.052318668252080855
031_6.bmp <-> 031_1.bmp similarity score:0.06777645659928656
031_3.bmp <-> 031_2.bmp similarity score:0.08085612366230678
031_3.bmp <-> 031_1.bmp similarity score:0.2497027348394768
031_2.bmp <-> 031_1.bmp similarity score:0.09988109393579073
209_4.bmp <-> 209_5.bmp similarity score:0.24256837098692033
209_4.bmp <-> 209_6.bmp similarity score:0.21046373365041618
209_4.bmp <-> 209_2.bmp similarity score:0.4863258026159334
209_4.bmp <-> 209_3.bmp similarity score:0.42092746730083236
209_4.bmp <-> 209_1.bmp similarity score:0.3983353151010702
209_5.bmp <-> 209_6.bmp similarity score:0.3686087990487515
209_5.bmp <-> 209_2.bmp similarity score:0.25089179548156954
209_5.bmp <-> 209_3.bmp similarity score:0.2877526753864447
209_5.bmp <-> 209_1.bmp similarity score:0.3032104637336504
209_6.bmp <-> 209_2.bmp similarity score:0.2080856123662307
209_6.bmp <-> 209_3.bmp similarity score:0.23067776456599287
209_6.bmp <-> 209_1.bmp similarity score:0.2116527942925089
209_2.bmp <-> 209_3.bmp similarity score:0.4399524375743163
209_2.bmp <-> 209_1.bmp similarity score:0.42568370986920334
209_3.bmp <-> 209_1.bmp similarity score:0.47205707491082044
115_1.bmp <-> 115_2.bmp similarity score:0.3103448275862069
115_1.bmp <-> 115_3.bmp similarity score:0.2116527942925089
115_1.bmp <-> 115_4.bmp similarity score:0.2568370986920333
115_1.bmp <-> 115_5.bmp similarity score:0.19143876337693222
115_2.bmp <-> 115_3.bmp similarity score:0.22473246135552913
115_2.bmp <-> 115_4.bmp similarity score:0.2497027348394768
115_2.bmp <-> 115_5.bmp similarity score:0.1426872770511296
115_3.bmp <-> 115_4.bmp similarity score:0.17717003567181927
115_3.bmp <-> 115_5.bmp similarity score:0.09631391200951249
115_4.bmp <-> 115_5.bmp similarity score:0.15933412604042807
074_5.bmp <-> 074_4.bmp similarity score:0.2140309155766944
